number,S1,S2,S3,Total,Anchor,Pass
3161200037,47,50,36,133,83.3,1
3161200038,51,54,58,163,40.7,1
3161200039,51,48,29,128,59.7,1
3161200040,38,49,39,126,19,1
3161200041,51,51,39,141,22.9,1
3161200042,36,27,52,115,60.3,1
3161200043,44,30,32,0,42,1
3161200044,36,25,44,0,76.5,1
3161200045,40,38,47,125,83.3,1
3161200046,41,32,12,85,53.5,0
3161200047,57,54,48,159,41.3,1
3161200048,55,54,53,162,34.5,1
3161200049,25,17,32,74,100,0
3161200050,24,32,0,66,100,0
3161200051,52,52,51,155,77.1,1
3161200052,30,42,23,95,36.8,0
3161200053,36,34,34,0,36.8,1
3161200054,34,30,21,85,59.7,0
3161200055,33,23,16,72,53.5,0
3161200056,20,18,18,56,36.8,0
3161200057,56,53,56,165,53.5,1
3161200058,58,58,53,169,59.7,1
3161200059,43,42,51,136,81,1
3161200060,40,22,23,85,0,0
3161200061,46,41,56,143,36.8,1
3161200062,51,42,47,140,0,1
3161200063,36,29,46,111,34.5,1
3161200064,34,30,46,10,83.3,1
3161200065,31,36,44,111,59.7,1
3161200066,44,40,53,137,17.8,1
3161200067,37,32,48,117,59.7,1
3161200068,28,32,46,0,83.3,1
3161200069,25,28,36,89,58.7,0
3161200070,47,31,42,120,59.7,1
3161200071,50,32,42,124,23.5,1
3161200072,37,32,44,113,100,1
3161200073,38,37,39,114,76.5,1
3161200074,31,38,34,0,22.9,1
3161200075,33,25,41,99,22.9,0
3161200076,48,37,39,124,53.5,1
3161200077,50,39,54,143,53.5,1
3161200078,42,36,35,113,46.5,1
3161200079,31,22,27,80,36.8,0
3161200080,42,31,45,118,53.5,1
3161200081,23,21,22,66,77.1,0
3161200082,17,8,17,42,23.5,0
3161200083,27,19,22,68,57.4,0
3161200084,26,22,21,69,77.1,0
3161200085,25,9,14,48,39.7,0
3161200086,30,36,12,78,64.3,0
3161200087,19,12,12,43,19,0
3161200088,26,23,20,69,35.7,0
3161200089,31,15,29,75,46.5,0
3161200090,29,16,34,79,76.5,0
3161200091,38,30,33,0,0,0
3161200092,22,25,22,69,65.5,0
3161200093,23,19,12,54,17.8,0
3161200094,42,38,35,115,42.6,1
3161200095,40,38,0,88,42,0
3161200096,35,34,51,120,53.5,1
3161200097,32,32,43,0,65.5,1
3161200098,55,55,60,170,39.7,1
3161200099,55,58,60,173,36.8,1
3161200100,39,47,44,130,46.5,1
3161200101,42,49,42,133,65.5,1
3161200102,30,20,38,88,36.8,0
3161200103,28,43,33,0,65.5,1
3161200104,34,35,29,98,59.3,0
3161200105,49,45,49,143,59.3,1
3161200106,33,32,30,95,82.2,0
3161200107,20,25,20,65,36.8,0
3161200108,30,29,14,73,59.7,0
3161200109,24,39,34,97,76.5,0
3161200110,37,42,31,10,100,1
3161200111,27,18,22,67,83.3,0
3161200112,36,42,28,0,42,1
3161200113,25,33,34,92,58,0
3161200114,40,46,31,117,77.1,1
3161200115,23,41,41,0,17.8,1
3161200116,42,42,28,112,83.3,1
3161200117,32,34,20,86,36.8,0
3161200118,17,34,20,71,83.3,0
3161200119,38,36,42,116,83.3,1
3161200120,26,31,34,91,42,0
3161200121,7,27,16,50,59.7,0
3161200122,26,40,36,0,60.3,1
3161200123,39,40,32,111,58,1
3161200124,43,52,39,134,77.1,1
3161200125,45,38,31,114,77.1,1
3161200126,19,31,28,78,59.7,0
3161200127,45,42,37,124,19,1
3161200128,43,48,43,134,59.3,1
3161200129,28,42,32,0,83.3,1
3161200130,26,35,45,0,36.8,1
3161200131,36,41,38,115,36.8,1
3161200132,47,45,45,137,42,1
3161200133,34,30,28,92,36.8,0
3161200134,41,34,37,112,35.7,1
3161200135,23,19,21,63,59.7,0
3161200136,44,38,29,111,42.6,1
3161200137,13,26,30,69,57.4,0
3161200138,25,41,28,94,64.3,0
3161200139,31,31,23,85,100,0
3161200140,50,54,30,134,53.5,1
3161200141,27,26,19,72,81,0
3161200142,40,40,38,118,76.5,1
3161200143,31,45,25,0,34.5,0
3161200144,54,54,39,147,58.7,1
3161200145,35,45,21,0,53.5,0
3161200146,26,34,26,86,36.8,0
3161200147,40,41,28,0,58.7,1
3161200148,33,33,27,93,17.8,0
3161200149,33,42,24,99,53.5,0
3161200150,36,33,29,98,41.3,0
3161200151,40,38,45,123,16.7,1
3161200152,41,43,32,116,22.9,1
3161200153,37,42,39,118,83.3,1
3161200154,40,26,15,81,53.5,0
3161200155,35,33,32,0,60.3,0
3161200156,40,44,25,0,76.5,1
3161200157,38,38,20,96,0,0
3161200158,29,41,30,0,83.3,0
3161200159,38,43,45,126,59.7,1
3161200160,48,33,28,0,35.7,1
3161200161,47,46,23,116,39.7,1
3161200162,19,20,25,64,83.3,0
3161200163,41,48,31,120,35.7,1
3161200164,19,23,26,68,36.8,0
3161200165,44,47,34,125,100,1
3161200166,32,37,35,0,35.7,1
3161200167,38,37,29,0,59.7,1
3161200168,34,34,37,0,16.7,1
3161200169,22,32,34,88,60.3,0
3161200170,27,29,37,93,59.7,0
3161200171,21,29,30,80,59.7,0
3161200172,28,42,35,0,58,1
3161200173,51,54,54,159,16.7,1
3161200174,23,47,45,115,23.5,1
3161200175,16,25,37,78,60.3,0
3161200176,34,37,29,0,60.3,0
3161200177,33,42,33,0,83.3,1
3161200178,47,36,33,116,35.7,1
3161200179,45,48,48,141,83.3,1
3161200180,31,40,31,0,42.6,1
3161200181,42,31,37,10,19,1
3161200182,21,23,32,76,42.6,0
3161200183,21,26,29,76,16.7,0
3161200184,37,29,28,94,53.5,0
3161200185,12,25,14,51,40.7,0
3161200186,24,28,20,72,58,0
3161200187,28,12,14,54,41.3,0
3161200188,24,35,30,89,82.2,0
3161200189,39,40,19,98,39.7,0
3161200190,27,26,25,78,76.5,0
